seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,AGD-C,4136.0,0.6801227191990957,0.492036224121227,4091.0,121.0,45.0,0.1875,0.4833121162715189,0.19556236267089844
42,2023-01-01 01:59:00,AGD-C,4066.0,0.6744449846054125,0.5006817543120583,4020.0,142.0,46.0,0.19166666666666668,0.46797880917848306,0.18591666221618652
42,2023-01-01 02:59:00,AGD-C,3995.0,0.6611570247933884,0.501574144794301,3938.0,142.0,57.0,0.2375,0.4901833395857706,0.18889880180358887
42,2023-01-01 03:59:00,AGD-C,3885.0,0.6393998063891578,0.5057045614443244,3826.0,137.0,59.0,0.24583333333333332,0.49516819288019354,0.188673734664917
42,2023-01-01 04:59:00,AGD-C,3756.0,0.6182639561148757,0.5104289144405576,3695.0,137.0,61.0,0.25416666666666665,0.4969940008919475,0.18957924842834473
42,2023-01-01 05:59:00,AGD-C,3834.0,0.6337708637173878,0.5070116297881605,3769.0,142.0,65.0,0.2708333333333333,0.4982114410091266,0.19004034996032715
42,2023-01-01 06:59:00,AGD-C,4195.0,0.6966456003889159,0.49501166880076103,4157.0,142.0,38.0,0.15833333333333333,0.44271080691554116,0.19253134727478027
42,2023-01-01 07:59:00,AGD-C,4538.0,0.7540106951871658,0.4719636358029675,4511.0,142.0,27.0,0.1125,0.392412161007184,0.18750357627868652
42,2023-01-01 08:59:00,AGD-C,4563.0,0.757413709285367,0.4687354293614337,4532.0,142.0,31.0,0.12916666666666668,0.4130988556637314,0.1807103157043457
42,2023-01-01 50:00:00,AGD-C,4107.555555555556,0.6794699288534186,0.494794218096199,4059.8888888888887,138.55555555555554,47.666666666666664,0.1986111111111111,0.4644521914892774,0.18882404433356392
42,2023-01-01 100:00:00,AGD-C,5492.0,6.170861568247822,3.759639811639736,5400.0,257.0,92.0,0.01597222222222222,4.3147242170930875,145.5241620540619
