seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,GBRSP-C,4120.0,0.6757108042242079,0.48145439780097976,4091.0,68.0,29.0,0.24166666666666667,0.49456387414118336,0.17460083961486816
42,2023-01-01 01:59:00,GBRSP-C,4049.0,0.6658544509421702,0.48860681083320956,4020.0,79.0,29.0,0.24166666666666667,0.48201095606733596,0.16181063652038574
42,2023-01-01 02:59:00,GBRSP-C,3961.0,0.6525341130604289,0.4949009765413565,3938.0,79.0,23.0,0.19166666666666668,0.45428755556775596,0.16536974906921387
42,2023-01-01 03:59:00,GBRSP-C,3865.0,0.6343404808317089,0.49492230380318086,3826.0,79.0,39.0,0.325,0.49995994071218985,0.16440534591674805
42,2023-01-01 04:59:00,GBRSP-C,3740.0,0.6130604288499025,0.4982604472376144,3695.0,79.0,45.0,0.375,0.4951292965976696,0.16325998306274414
42,2023-01-01 05:59:00,GBRSP-C,3810.0,0.6250812215724496,0.49668940699625297,3769.0,79.0,41.0,0.3416666666666667,0.49963935078457083,0.16105008125305176
42,2023-01-01 06:59:00,GBRSP-C,4183.0,0.6881091617933723,0.48149134634873664,4157.0,79.0,26.0,0.21666666666666667,0.46989142261444533,0.16654610633850098
42,2023-01-01 07:59:00,GBRSP-C,4527.0,0.7456140350877193,0.45841202212119014,4511.0,79.0,16.0,0.13333333333333333,0.4018862750984189,0.16366195678710938
42,2023-01-01 08:59:00,GBRSP-C,4550.0,0.7490253411306043,0.4558557262473501,4532.0,79.0,18.0,0.15,0.4194440892602757,0.14966058731079102
42,2023-01-01 09:59:00,GBRSP-C,4616.0,0.7599090318388564,0.4501002612042118,4599.0,79.0,17.0,0.14166666666666666,0.41095400204425137,0.16856718063354492
42,2023-01-01 10:59:00,GBRSP-C,4687.0,0.7719298245614035,0.44404029023379327,4673.0,79.0,14.0,0.11666666666666667,0.38185071212654054,0.1652374267578125
42,2023-01-01 11:59:00,GBRSP-C,4639.0,0.76364522417154,0.4479220308703847,4622.0,79.0,17.0,0.14166666666666666,0.41095400204425137,0.16051363945007324
42,2023-01-01 12:59:00,GBRSP-C,4621.0,0.76137102014295,0.4506968881145501,4608.0,79.0,13.0,0.10833333333333334,0.3707802155918179,0.1489548683166504
42,2023-01-01 13:59:00,GBRSP-C,4660.0,0.7680311890838206,0.44749474788495114,4649.0,79.0,11.0,0.09166666666666666,0.34619732483993276,0.16556692123413086
42,2023-01-01 14:59:00,GBRSP-C,4681.0,0.7709551656920078,0.4446357014700053,4667.0,79.0,14.0,0.11666666666666667,0.38185071212654054,0.16059446334838867
42,2023-01-01 15:59:00,GBRSP-C,4640.0,0.7639701104613386,0.4480933128717039,4624.0,79.0,16.0,0.13333333333333333,0.4018862750984189,0.16066575050354004
42,2023-01-01 16:59:00,GBRSP-C,4682.0,0.7709551656920078,0.44427021139383754,4667.0,79.0,15.0,0.125,0.3922008451855612,0.14862608909606934
42,2023-01-01 17:59:00,GBRSP-C,4631.0,0.7616959064327485,0.44761440701194954,4610.0,79.0,21.0,0.175,0.4417703383953202,0.16387367248535156
42,2023-01-01 18:59:00,GBRSP-C,4530.0,0.7464262508122157,0.4586847629336972,4516.0,79.0,14.0,0.11666666666666667,0.38185071212654054,0.14934897422790527
42,2023-01-01 19:59:00,GBRSP-C,4595.0,0.7566601689408707,0.4523200127526458,4579.0,79.0,16.0,0.13333333333333333,0.4018862750984189,0.17134499549865723
42,2023-01-01 20:59:00,GBRSP-C,4588.0,0.755685510071475,0.4532302312143335,4573.0,79.0,15.0,0.125,0.3922008451855612,0.1486988067626953
42,2023-01-01 21:59:00,GBRSP-C,4606.0,0.757959714100065,0.45049968178604405,4587.0,79.0,19.0,0.15833333333333333,0.42739096243377545,0.1564500331878662
42,2023-01-01 22:59:00,GBRSP-C,4421.0,0.7279077322936972,0.46642388762654374,4402.0,79.0,19.0,0.15833333333333333,0.42739096243377545,0.1478888988494873
42,2023-01-01 23:59:00,GBRSP-C,4338.0,0.7131254061078622,0.4706077436048885,4311.0,79.0,27.0,0.225,0.4743036454479796,0.16138482093811035
42,2023-01-01 50:00:00,GBRSP-C,4405.833333333333,0.7249815607456426,0.46363448370430876,4384.416666666667,78.54166666666667,21.416666666666668,0.17847222222222223,0.4275116912926054,0.16033674279848734
42,2023-01-01 100:00:00,GBRSP-C,6156.0,17.53411306042885,9.16123209678027,6120.0,117.0,36.0,0.0125,10.523745279031255,357.1821846961975
